title,start_date_f,end_date_f,lat,lng,address,description,tags,source
Board Games &amp; Card Games: The Real Challenge,2015-11-14T17:00:00Z,2015-11-14T21:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608",Strategize and challenge your opponent(s) to survive fun quests.,[],library
Underground Feedback Stereo,2015-11-14T19:00:00Z,2015-11-14T21:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Learn basic recording techniques, music publishing, social media promotion and music production. We will guide you through the process of becoming an independent musician.",[],library
Jewelry Making with Freda Terry,2015-11-14T20:00:00Z,2015-11-14T22:00:00Z,41.958263,-87.653572,"929 W. Buena Avenue, Chicago, IL 60613",Freda Terry returns to present her popular jewelry making class.  You won't want to miss this chance to make a holiday gift for someone or a trinket for yourself!,[],library
Raw Material: Uncovering Chicago's Historical Collections,2015-11-14T20:00:00Z,2015-11-14T21:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","<img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/95340943cf2197df7849f44653786c1f/Riva-for-web.jpg"" unselectable=""on"">",[],library
Film Screening: &quot;In The Game&quot;,2015-11-14T20:00:00Z,2015-11-14T22:00:00Z,41.702875,-87.533649,"3710 E. 106th Street, Chicago, IL 60617","<img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/a6cc0dae4cbfe62ec006e193d1b07d64/inthegame-fence-resized.jpg"" alt="""" style=""margin: auto; display: block;"">Join us for a screening of the new documentary film from Kartemquin Films, <a href=""https://www.kartemquin.com/films/in-the-game/""><em>In The Game</em></a>. ",[],library
Archery for Beginners,2015-11-14T20:00:00Z,2015-11-14T21:00:00Z,41.8949119,-87.7478671,"4856 W. Chicago Avenue, Chicago, IL 60651",  ,[],library
Crafts on Saturdays,2015-11-14T20:30:00Z,2015-11-14T21:30:00Z,41.80105,-87.726459,"5055 S. Archer Avenue, Chicago, IL 60632",Drop in for arts and crafts on Saturday afternoons! ,[],library
Experience Korea  ,2015-11-14T21:30:00Z,2015-11-14T22:30:00Z,41.9755882,-87.7137735,"3401 W. Foster Avenue, Chicago, IL 60625-4808",Come and join us as we experience the Korean language and culture in the library. This program is presented by the Korean Education Center at the Korean Consulate General in Chicago. ,[],library
YOUmedia Open Hours,2015-11-16T21:00:00Z,2015-11-16T23:30:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Come hang out and mess around with all our tech gear, including laptops, a 3D printer, a sticker maker and video games. Learn how to make simple crafts like buttons to stop motion animation. Every day is different so feel free to drop in!",[],library
Maker Open Lab,2015-11-16T22:00:00Z,2015-11-17T00:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Use YOUmedia's maker equipment to pursue your own projects. Learn to design and print in 3D or use the vinyl cutter to create stickers, stencils, or decals. Have an idea of your own? Come in and make it happen!",[],library
Library of Games Podcast,2015-11-16T22:00:00Z,2015-11-16T23:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Do you know what an MMORPG is? An FPS? An RTS? Then join Library of Games (LoG), YOUmedia's very own video game podcast, blog and Let's Play channel. We record a podcast on video game topics every week. ",[],library
Get Wreckt!,2015-11-16T22:30:00Z,2015-11-17T00:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Interested in engineering, taking apart objects to see how they work and creating something new from scratch? Then join us for Get Wreckt to mess around and tinker with everyday objects.",[],library
Pre-Teen Book Club: Akata Witch,2015-11-16T23:00:00Z,2015-11-17T00:00:00Z,41.87934,-87.725415,"115 S. Pulaski Road, Chicago, IL 60624"," Join Legler's Pre-Teen Book Club. At meetings we will talk, snack and read. We will feature a new book every two weeks. ",[],library
