black1,red1,strike1,black2,red2,strike2,title,start_date_f,end_date_f,lat,lng,address,description,tags,source
0,0,0,0,0,0,Galactic Game Nights,2015-07-30T23:30:00Z,2015-07-31T00:30:00Z,41.936689,-87.786083,"3104 N. Narragansett Avenue, Chicago, IL 60634",Build with your Brother.,art/entertainment,library
0,0,0,0,0,0,TSC Read-a-thon,2015-07-31T17:00:00Z,2015-07-31T21:00:00Z,41.909437,-87.768889,"5724 W. North Avenue, Chicago, IL 60639","<img src=""https://chipublib.bibliocommons.com/events/images/full/f3d07cfd4f4e1cb33db57f37a714fee2/Defy Gravity 300x230.jpg"" unselectable=""on"">Come level up your next hundred minutes for the Teen Summer Challenge. Drop in, hang out and read with us!  Snacks provided. ",art/entertainment,library
0,0,0,0,0,0,Teen Time,2015-07-31T18:00:00Z,2015-07-31T21:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Drop in and hang out, it's your time to try all the tech we have on hand!",art/entertainment,library
0,0,0,0,0,0,New Voices on the Studs Terkel Radio Archive,2015-07-31T19:00:00Z,2015-07-31T21:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","New Voices on the Studs Terkel Radio Archive empowers youth to use 21st century skills in developing a multi-media exhibit and digital archive, inserting youth voice into the cultural and historical narratives captured by Studs Terkel.",art/entertainment,library
0,0,0,0,0,0,Planet Read Cafe,2015-07-31T20:00:00Z,2015-07-31T21:30:00Z,41.87934,-87.725415,"115 S. Pulaski Road, Chicago, IL 60624",Looking for a cool place to escape the heat this summer? Need to catch up on your reading for the summer? Drop in to Planet Read CafÍ©! Enjoy a flavored coffee or Italian soda from our coffee bar while you read a book or magazine from our collection.,art/entertainment,library
0,0,0,0,0,0,Korean Drumming Workshop with Global Pungmul Institute,2015-08-01T15:00:00Z,2015-08-01T17:00:00Z,41.9755882,-87.7137735,"3401 W. Foster Avenue, Chicago, IL 60625-4808",<strong>Global Pungmul Institute </strong>is a community-based cultural and educational organization dedicated to promoting Korean traditional cultural and performing arts known as <em>Pungmul</em>. You will learn throughout the four sessions in this summer:,art,library
0,0,0,0,0,0,Far Out Celebration!,2015-08-01T15:00:00Z,2015-08-01T17:00:00Z,41.720915,-87.642915,"9525 S. Halsted Street, Chicago, IL 60628","Summer Learning Challenge participants and their families are invited to join us for our ""Explore and Soar!"" Awards Ceremony.  Receive your certificate and a special prize, then blast off with musician Rick Kelley.  Rick's far out program will have you singing and dancing across the universe!",art,library
0,0,0,0,0,0,YOUmedia Magic: The Gathering,2015-08-01T16:00:00Z,2015-08-01T18:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Play trading card games, and challenge yourself to build strategies, skills, and imagination through online platforms.",art,library
0,0,0,0,0,0,Explore and Soar Summer Party,2015-08-01T16:00:00Z,2015-08-01T17:00:00Z,41.738396,-87.702283,"8530 S. Kedzie Avenue, Chicago, IL 60652","Celebrate your accomplishments during the Summer Learning Challenge!  There will be games, raffles, and fun for everyone! All ages welcome!",art,library
0,0,0,0,0,0,SLC Fun &amp; Games,2015-08-01T18:00:00Z,2015-08-01T19:00:00Z,41.782208,-87.703383,"6120 S. Kedzie Avenue, Chicago, IL 60629","Families are invited to come and celebrate their achievements with games, prizes and more. ",art/entertainment,library
0,0,0,0,0,0,Summer Stars Party,2015-08-01T18:00:00Z,2015-08-01T20:00:00Z,41.7623,-87.6005,"1000 E. 73rd Street, Chicago, IL 60619","Celebrate summer learning with zany games, cool snacks, and awards!",art/entertainment,library
0,0,0,0,0,0,Summer Learning Challenge Party/Explore More,2015-08-01T18:00:00Z,2015-08-01T20:30:00Z,41.8949119,-87.7478671,"4856 W. Chicago Avenue, Chicago, IL 60651","All who registered and participated in our Summer Learning Challenge are invited to our SLC party. Come one, come all. This party is a joint effort for our kid and teen participants.",art/entertainment,library
0,0,0,0,0,0,Underground Feedback Stereo,2015-08-01T18:00:00Z,2015-08-01T19:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Learn basic recording techniques, music publishing, social media promotion and music production. We will guide you through the process of becoming an independent musician.",art/entertainment,library
